
Note: No compatibility mode selected!


Circuit: * scr with state cap for proper latching

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using transient initial conditions

No. of Data Rows : 276
                    * scr with state cap for proper latching
                    Transient Analysis  Fri Mar 27 20:47:51  2026
--------------------------------------------------------------------------------
Index   time            v(a)            v(g)            v(st)           
--------------------------------------------------------------------------------
0	2.000000e-07	1.188107e+01	2.159759e-05	2.375735e-04	
1	4.000000e-07	1.188108e+01	4.319083e-05	4.750991e-04	
2	8.000000e-07	1.188108e+01	8.636860e-05	9.500546e-04	
3	1.600000e-06	1.188109e+01	1.726719e-04	1.899391e-03	
4	3.200000e-06	1.188111e+01	3.450700e-04	3.795769e-03	
5	6.400000e-06	1.188115e+01	6.890331e-04	7.579364e-03	
6	1.280000e-05	1.188122e+01	1.373641e-03	1.511006e-02	
7	2.000000e-05	1.188130e+01	2.138565e-03	2.352422e-02	
8	2.128000e-05	1.188132e+01	2.273883e-03	2.501272e-02	
9	2.384000e-05	1.188135e+01	2.544171e-03	2.798588e-02	
10	2.896000e-05	1.188141e+01	3.082660e-03	3.390926e-02	
11	3.920000e-05	1.188152e+01	4.151341e-03	4.566475e-02	
12	5.920000e-05	1.188175e+01	6.207112e-03	6.827823e-02	
13	7.920000e-05	1.188197e+01	8.221848e-03	9.044033e-02	
14	9.920000e-05	1.188218e+01	1.019637e-02	1.121601e-01	
15	1.192000e-04	1.188239e+01	1.213148e-02	1.334462e-01	
16	1.392000e-04	1.188260e+01	1.402796e-02	1.543075e-01	
17	1.592000e-04	1.188280e+01	1.588658e-02	1.747524e-01	
18	1.792000e-04	1.188300e+01	1.770811e-02	1.947892e-01	
19	1.992000e-04	1.188319e+01	1.949328e-02	2.144260e-01	
20	2.192000e-04	1.188338e+01	2.124281e-02	2.336709e-01	
21	2.392000e-04	1.188357e+01	2.295742e-02	2.525316e-01	
22	2.592000e-04	1.188375e+01	2.463781e-02	2.710159e-01	
23	2.792000e-04	1.188393e+01	2.628465e-02	2.891312e-01	
24	2.992000e-04	1.188411e+01	2.789863e-02	3.068849e-01	
25	3.192000e-04	1.188428e+01	2.948038e-02	3.242842e-01	
26	3.392000e-04	1.188445e+01	3.103057e-02	3.413362e-01	
27	3.592000e-04	1.188462e+01	3.254981e-02	3.580479e-01	
28	3.792000e-04	1.188478e+01	3.403872e-02	3.744259e-01	
29	3.992000e-04	1.188494e+01	3.549792e-02	3.904771e-01	
30	4.192000e-04	1.188509e+01	3.692799e-02	4.062078e-01	
31	4.392000e-04	1.188524e+01	3.832951e-02	4.216246e-01	
32	4.592000e-04	1.188539e+01	3.970306e-02	4.367336e-01	
33	4.792000e-04	1.188554e+01	4.104919e-02	4.515411e-01	
34	4.992000e-04	1.188568e+01	4.236845e-02	4.660529e-01	
35	5.000000e-04	1.188569e+01	4.242066e-02	4.666273e-01	
36	5.010000e-04	1.188570e+01	3.152379e-01	4.676167e-01	
37	5.030000e-04	1.188573e+01	8.609217e-01	4.701385e-01	
38	5.070000e-04	1.188581e+01	1.952585e+00	4.784330e-01	
39	5.100000e-04	1.188590e+01	2.771590e+00	4.874912e-01	
40	5.108000e-04	1.188592e+01	2.771839e+00	4.902282e-01	
41	5.124000e-04	1.188598e+01	2.772336e+00	4.956976e-01	
42	5.156000e-04	1.188609e+01	2.773328e+00	5.066102e-01	
43	5.220000e-04	1.188630e+01	2.775303e+00	5.283300e-01	
44	5.348000e-04	1.188673e+01	2.779214e+00	5.713519e-01	
45	5.548000e-04	1.188621e-01	2.784166e+00	6.258223e-01	
46	5.748000e-04	1.188662e-01	2.787959e+00	6.675542e-01	
47	5.948000e-04	1.188703e-01	2.791677e+00	7.084522e-01	
48	6.148000e-04	1.188742e-01	2.795321e+00	7.485331e-01	
49	6.348000e-04	1.188781e-01	2.798892e+00	7.878132e-01	
50	6.548000e-04	1.188819e-01	2.802392e+00	8.263084e-01	
51	6.748000e-04	1.188857e-01	2.805821e+00	8.640345e-01	
52	6.948000e-04	1.188893e-01	2.809182e+00	9.010069e-01	
53	7.148000e-04	1.188929e-01	2.812476e+00	9.372406e-01	
54	7.348000e-04	1.188964e-01	2.815705e+00	9.727503e-01	

Index   time            v(a)            v(g)            v(st)           
--------------------------------------------------------------------------------
55	7.548000e-04	1.188999e-01	2.818868e+00	1.007550e+00	
56	7.748000e-04	1.189032e-01	2.821969e+00	1.041655e+00	
57	7.948000e-04	1.189066e-01	2.825007e+00	1.075079e+00	
58	8.100000e-04	1.189090e-01	2.827276e+00	1.100033e+00	
59	8.110000e-04	1.189092e-01	2.554672e+00	1.101388e+00	
60	8.130000e-04	1.189094e-01	2.009414e+00	1.103550e+00	
61	8.170000e-04	1.189095e-01	9.185997e-01	1.104596e+00	
62	8.200000e-04	1.189093e-01	1.002289e-01	1.102518e+00	
63	8.208000e-04	1.189092e-01	1.001490e-01	1.101639e+00	
64	8.224000e-04	1.189090e-01	9.998912e-02	1.099880e+00	
65	8.256000e-04	1.189087e-01	9.967022e-02	1.096372e+00	
66	8.320000e-04	1.189080e-01	9.903550e-02	1.089391e+00	
67	8.448000e-04	1.189066e-01	9.777828e-02	1.075561e+00	
68	8.648000e-04	1.189045e-01	9.584605e-02	1.054307e+00	
69	8.848000e-04	1.189024e-01	9.395243e-02	1.033477e+00	
