
Note: No compatibility mode selected!


Circuit: * scr 2bjt with holding cap - no current probe

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vcc                                         12
a                                       11.988
g                                            0
nd1                                    11.7659
vgate#branch                       1.27659e-11
vcc#branch                         -1.1993e-05


No. of Data Rows : 654
                 * scr 2bjt with holding cap - no current probe
                 Transient Analysis  Fri Mar 27 20:46:48  2026
--------------------------------------------------------------------------------
Index   time            v(a)            v(g)            
--------------------------------------------------------------------------------
0	0.000000e+00	1.198801e+01	0.000000e+00	
1	1.000000e-07	1.198801e+01	0.000000e+00	
2	2.000000e-07	1.198801e+01	0.000000e+00	
3	4.000000e-07	1.198801e+01	0.000000e+00	
4	8.000000e-07	1.198801e+01	0.000000e+00	
5	1.600000e-06	1.198801e+01	0.000000e+00	
6	3.200000e-06	1.198801e+01	0.000000e+00	
7	6.400000e-06	1.198801e+01	0.000000e+00	
8	1.280000e-05	1.198801e+01	0.000000e+00	
9	2.280000e-05	1.198801e+01	0.000000e+00	
10	3.280000e-05	1.198801e+01	0.000000e+00	
11	4.280000e-05	1.198801e+01	0.000000e+00	
12	5.280000e-05	1.198801e+01	0.000000e+00	
13	6.280000e-05	1.198801e+01	0.000000e+00	
14	7.280000e-05	1.198801e+01	0.000000e+00	
15	8.280000e-05	1.198801e+01	0.000000e+00	
16	9.280000e-05	1.198801e+01	0.000000e+00	
17	1.028000e-04	1.198801e+01	0.000000e+00	
18	1.128000e-04	1.198801e+01	0.000000e+00	
19	1.228000e-04	1.198801e+01	0.000000e+00	
20	1.328000e-04	1.198801e+01	0.000000e+00	
21	1.428000e-04	1.198801e+01	0.000000e+00	
22	1.528000e-04	1.198801e+01	0.000000e+00	
23	1.628000e-04	1.198801e+01	0.000000e+00	
24	1.728000e-04	1.198801e+01	0.000000e+00	
25	1.828000e-04	1.198801e+01	0.000000e+00	
26	1.928000e-04	1.198801e+01	0.000000e+00	
27	2.028000e-04	1.198801e+01	0.000000e+00	
28	2.128000e-04	1.198801e+01	0.000000e+00	
29	2.228000e-04	1.198801e+01	0.000000e+00	
30	2.328000e-04	1.198801e+01	0.000000e+00	
31	2.428000e-04	1.198801e+01	0.000000e+00	
32	2.528000e-04	1.198801e+01	0.000000e+00	
33	2.628000e-04	1.198801e+01	0.000000e+00	
34	2.728000e-04	1.198801e+01	0.000000e+00	
35	2.828000e-04	1.198801e+01	0.000000e+00	
36	2.928000e-04	1.198801e+01	0.000000e+00	
37	3.028000e-04	1.198801e+01	0.000000e+00	
